sku,category,batch_id,batch_inventory,remaining_shelf_life_days,expected_demand_until_expiry,allocated_demand,potential_surplus,cumulative_inventory,cumulative_demand,sku_potential_surplus,cumulative_surplus,previous_cumulative_surplus,forecast_daily_demand,inventory_coverage_days,excess_coverage_days,waste_exposure_ratio,scenario_coverage_factor,scenario_inventory,expected_sales_before_expiry,surplus_percentage,waste_risk,recommended_action,priority_score
RE-025,ReadyMeal,B,63,4,483.63,63.0,0.0,105,483.63,0,0.0,0.0,120.9075,0.5210594876248372,0.0,0.0,0.9036625124277265,109,483.63,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
SN-010,SnackBar,A,71,24,2179.73,71.0,0.0,71,2179.73,0,0.0,0.0,90.82208333333334,0.7817481981713331,0.0,0.0,0.9505735782422617,86,2179.73,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
SN-010,SnackBar,B,106,56,4938.41,106.0,0.0,177,4938.41,0,0.0,0.0,88.18589285714286,1.2020063137730566,0.0,0.0,0.9622166833351816,85,4938.41,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
SN-013,SnackBar,A,54,23,2002.6500000000003,54.0,0.0,54,2002.6500000000003,0,0.0,0.0,87.07173913043479,0.6201782638004643,0.0,0.0,1.1472839810604432,100,2002.6500000000003,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
SN-013,SnackBar,B,81,58,5048.370000000001,81.0,0.0,135,5048.370000000001,0,0.0,0.0,87.04086206896554,0.9305974007451908,0.0,0.0,1.672617377558581,146,5048.370000000001,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
SN-019,SnackBar,A,77,20,3023.2799999999997,77.0,0.0,77,3023.2799999999997,0,0.0,0.0,151.164,0.5093805403402927,0.0,0.0,0.8396085385900317,127,3023.2799999999997,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
SN-019,SnackBar,B,116,45,6866.750000000001,116.0,0.0,193,6866.750000000001,0,0.0,0.0,152.59444444444446,0.7601849492117814,0.0,0.0,0.8889816904004332,136,6866.750000000001,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
SN-027,SnackBar,A,55,20,2197.3,55.0,0.0,55,2197.3,0,0.0,0.0,109.86500000000001,0.5006143903882037,0.0,0.0,1.310897482634451,144,2197.3,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
SN-027,SnackBar,B,83,55,7296.23,83.0,0.0,138,7296.23,0,0.0,0.0,132.65872727272728,0.6256655834588548,0.0,0.0,1.2552566508374459,167,7296.2300000000005,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
SN-028,SnackBar,A,62,18,1741.56,62.0,0.0,62,1741.56,0,0.0,0.0,96.75333333333333,0.6408047957004066,0.0,0.0,1.329053822281726,129,1741.56,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
SN-028,SnackBar,B,93,51,4605.0700000000015,93.0,0.0,155,4605.0700000000015,0,0.0,0.0,90.29549019607846,1.0299517705485473,0.0,0.0,1.6925804598972984,153,4605.0700000000015,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
SN-030,SnackBar,A,33,20,3003.04,33.0,0.0,33,3003.04,0,0.0,0.0,150.152,0.21977729234375834,0.0,0.0,0.6780619115823354,102,3003.04,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
SN-030,SnackBar,B,49,59,9013.109999999999,49.0,0.0,82,9013.109999999999,0,0.0,0.0,152.76457627118643,0.3207549891214021,0.0,0.0,1.4611008952267293,223,9013.109999999999,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-001,Yogurt,A,57,5,720.6,57.0,0.0,57,720.6,0,0.0,0.0,144.12,0.395503746877602,0.0,0.0,1.7587584396894713,253,720.6,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-001,Yogurt,B,85,12,1723.63,85.0,0.0,142,1723.63,0,0.0,0.0,143.63583333333335,0.5917743367195976,0.0,0.0,1.7985427021121931,258,1723.63,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-003,Yogurt,A,82,6,597.66,82.0,0.0,82,597.66,0,0.0,0.0,99.61,0.8232105210320249,0.0,0.0,0.9655365230080448,96,597.66,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-003,Yogurt,B,124,13,1178.06,124.0,0.0,206,1178.06,0,0.0,0.0,90.61999999999999,1.3683513573162658,0.0,0.0,1.5857880765972947,144,1178.06,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-005,Yogurt,A,49,4,552.79,49.0,0.0,49,552.79,0,0.0,0.0,138.1975,0.3545650246929214,0.0,0.0,1.4210796318145884,196,552.79,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-005,Yogurt,B,73,14,1949.11,73.0,0.0,122,1949.11,0,0.0,0.0,139.22214285714284,0.5243418791140573,0.0,0.0,1.4913138349101471,208,1949.1099999999997,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-009,Yogurt,A,56,4,584.15,56.0,0.0,56,584.15,0,0.0,0.0,146.0375,0.3834631515877771,0.0,0.0,0.7464458818137346,109,584.15,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-009,Yogurt,B,85,13,1982.5300000000002,85.0,0.0,141,1982.5300000000002,0,0.0,0.0,152.5023076923077,0.557368614850721,0.0,0.0,1.3985574257019695,213,1982.5300000000002,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-012,Yogurt,A,80,5,521.96,80.0,0.0,80,521.96,0,0.0,0.0,104.39200000000001,0.7663422484481569,0.0,0.0,0.641266225338262,67,521.96,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-012,Yogurt,B,119,10,1052.45,119.0,0.0,199,1052.45,0,0.0,0.0,105.245,1.1306950448952444,0.0,0.0,0.9510479977906263,100,1052.45,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-014,Yogurt,A,67,4,355.72,67.0,0.0,67,355.72,0,0.0,0.0,88.93,0.7534015517823006,0.0,0.0,0.9105359779200204,81,355.72,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-014,Yogurt,B,101,13,1119.06,101.0,0.0,168,1119.06,0,0.0,0.0,86.08153846153846,1.1733061676764427,0.0,0.0,1.6909745757692927,146,1119.06,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-016,Yogurt,A,99,4,588.91,99.0,0.0,99,588.91,0,0.0,0.0,147.2275,0.6724287242532815,0.0,0.0,0.9740532913072932,143,588.91,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-016,Yogurt,B,148,12,1830.9,148.0,0.0,247,1830.9,0,0.0,0.0,152.57500000000002,0.9700147468458135,0.0,0.0,1.5119989676305838,231,1830.9,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-018,Yogurt,A,72,5,669.8699999999999,72.0,0.0,72,669.8699999999999,0,0.0,0.0,133.974,0.5374177079134758,0.0,0.0,1.2560523352119355,168,669.8699999999999,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-018,Yogurt,B,108,10,1388.08,108.0,0.0,180,1388.08,0,0.0,0.0,138.808,0.7780531381476572,0.0,0.0,1.149009120808425,159,1388.08,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-020,Yogurt,A,80,4,543.2800000000001,80.0,0.0,80,543.2800000000001,0,0.0,0.0,135.82000000000002,0.5890148726255336,0.0,0.0,1.7635015533174703,240,543.2800000000001,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-020,Yogurt,B,120,14,1969.9999999999998,120.0,0.0,200,1969.9999999999998,0,0.0,0.0,140.7142857142857,0.852791878172589,0.0,0.0,1.8577715939602684,261,1969.9999999999998,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-024,Yogurt,A,110,5,531.3,110.0,0.0,110,531.3,0,0.0,0.0,106.25999999999999,1.0351966873706004,0.0,0.0,1.7273987298770273,184,531.3,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-024,Yogurt,B,166,12,1265.95,166.0,0.0,276,1265.95,0,0.0,0.0,105.49583333333334,1.5735218610529642,0.0,0.0,0.9077718737603102,96,1265.95,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-029,Yogurt,A,52,4,502.97,52.0,0.0,52,502.97,0,0.0,0.0,125.7425,0.41354355130524684,0.0,0.0,1.3174799745733021,166,502.97,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
YO-029,Yogurt,B,77,10,1273.97,77.0,0.0,129,1273.97,0,0.0,0.0,127.397,0.6044098369663335,0.0,0.0,1.0257098021556064,131,1273.97,0.0,No Risk,No immediate waste-prevention intervention required.,0.0
