date,sku,units_sold,promotion_flag
2024-12-18,SN-027,64,1
2024-12-19,SN-027,68,0
2024-12-20,SN-027,88,1
2024-12-21,SN-027,94,0
2024-12-22,SN-027,81,1
2024-12-23,SN-027,122,0
2024-12-24,SN-027,107,1
2024-12-25,SN-027,61,0
2024-12-26,SN-027,95,0
2024-12-27,SN-027,98,1
2024-12-28,SN-027,114,1
2024-12-29,SN-027,95,0
2024-12-30,SN-027,87,1
2024-12-31,SN-027,98,1
2024-12-18,SN-028,110,1
2024-12-19,SN-028,178,1
2024-12-20,SN-028,128,0
2024-12-21,SN-028,139,1
2024-12-22,SN-028,90,1
2024-12-23,SN-028,162,0
2024-12-24,SN-028,173,1
2024-12-25,SN-028,172,1
2024-12-26,SN-028,148,1
2024-12-27,SN-028,200,1
2024-12-28,SN-028,129,1
2024-12-29,SN-028,81,1
2024-12-30,SN-028,135,1
2024-12-31,SN-028,89,0
2024-12-18,SN-030,121,1
2024-12-19,SN-030,110,0
2024-12-20,SN-030,170,1
2024-12-21,SN-030,110,0
2024-12-22,SN-030,106,1
2024-12-23,SN-030,147,0
2024-12-24,SN-030,141,1
2024-12-25,SN-030,116,1
2024-12-26,SN-030,112,0
2024-12-27,SN-030,165,1
2024-12-28,SN-030,98,0
2024-12-29,SN-030,114,1
2024-12-30,SN-030,113,1
2024-12-31,SN-030,159,1
2024-12-18,YO-001,129,1
2024-12-19,YO-001,124,1
2024-12-20,YO-001,101,1
2024-12-21,YO-001,126,1
2024-12-22,YO-001,86,1
2024-12-23,YO-001,69,0
2024-12-24,YO-001,123,1
2024-12-25,YO-001,118,1
2024-12-26,YO-001,105,1
2024-12-27,YO-001,133,1
2024-12-28,YO-001,138,1
2024-12-29,YO-001,143,1
2024-12-30,YO-001,123,1
2024-12-31,YO-001,110,1
2024-12-18,YO-003,198,1
2024-12-19,YO-003,97,1
2024-12-20,YO-003,92,0
2024-12-21,YO-003,118,1
2024-12-22,YO-003,121,0
2024-12-23,YO-003,132,1
2024-12-24,YO-003,152,1
2024-12-25,YO-003,99,0
2024-12-26,YO-003,109,1
2024-12-27,YO-003,148,1
2024-12-28,YO-003,87,1
2024-12-29,YO-003,121,0
2024-12-30,YO-003,130,1
2024-12-31,YO-003,85,0
2024-12-18,YO-005,200,1
2024-12-19,YO-005,143,1
2024-12-20,YO-005,101,0
2024-12-21,YO-005,159,1
2024-12-22,YO-005,197,1
2024-12-23,YO-005,101,0
2024-12-24,YO-005,95,1
2024-12-25,YO-005,91,1
2024-12-26,YO-005,131,1
2024-12-27,YO-005,105,0
2024-12-28,YO-005,118,1
2024-12-29,YO-005,119,1
2024-12-30,YO-005,135,0
2024-12-31,YO-005,137,1
2024-12-18,YO-009,159,1
2024-12-19,YO-009,128,1
2024-12-20,YO-009,84,0
2024-12-21,YO-009,85,1
2024-12-22,YO-009,151,1
2024-12-23,YO-009,114,0
2024-12-24,YO-009,98,1
2024-12-25,YO-009,127,0
2024-12-26,YO-009,164,1
2024-12-27,YO-009,117,1
2024-12-28,YO-009,99,0
2024-12-29,YO-009,129,1
2024-12-30,YO-009,139,1
2024-12-31,YO-009,157,1
2024-12-18,YO-012,141,1
2024-12-19,YO-012,101,1
2024-12-20,YO-012,110,1
2024-12-21,YO-012,92,0
2024-12-22,YO-012,83,0
2024-12-23,YO-012,141,1
2024-12-24,YO-012,113,1
2024-12-25,YO-012,135,1
2024-12-26,YO-012,118,0
2024-12-27,YO-012,89,0
2024-12-28,YO-012,119,1
2024-12-29,YO-012,103,1
2024-12-30,YO-012,132,1
2024-12-31,YO-012,100,0
2024-12-18,YO-014,97,1
2024-12-19,YO-014,104,1
2024-12-20,YO-014,137,1
2024-12-21,YO-014,67,1
2024-12-22,YO-014,116,1
2024-12-23,YO-014,80,1
2024-12-24,YO-014,143,1
2024-12-25,YO-014,106,1
2024-12-26,YO-014,105,1
2024-12-27,YO-014,89,0
2024-12-28,YO-014,61,0
2024-12-29,YO-014,88,0
2024-12-30,YO-014,71,1
2024-12-31,YO-014,88,0
2024-12-18,YO-016,120,0
2024-12-19,YO-016,133,1
2024-12-20,YO-016,133,1
2024-12-21,YO-016,100,1
2024-12-22,YO-016,123,1
2024-12-23,YO-016,60,0
2024-12-24,YO-016,143,1
2024-12-25,YO-016,103,0
2024-12-26,YO-016,145,1
2024-12-27,YO-016,129,1
2024-12-28,YO-016,103,1
2024-12-29,YO-016,157,1
2024-12-30,YO-016,143,1
2024-12-31,YO-016,199,1
2024-12-18,YO-018,139,1
2024-12-19,YO-018,117,1
2024-12-20,YO-018,108,0
2024-12-21,YO-018,61,0
2024-12-22,YO-018,141,1
2024-12-23,YO-018,137,1
2024-12-24,YO-018,105,1
2024-12-25,YO-018,103,0
2024-12-26,YO-018,104,1
2024-12-27,YO-018,111,0
2024-12-28,YO-018,122,1
2024-12-29,YO-018,160,1
2024-12-30,YO-018,124,1
2024-12-31,YO-018,128,1
2024-12-18,YO-020,169,1
2024-12-19,YO-020,116,1
2024-12-20,YO-020,122,1
2024-12-21,YO-020,135,0
2024-12-22,YO-020,91,1
2024-12-23,YO-020,106,0
2024-12-24,YO-020,83,0
2024-12-25,YO-020,137,0
2024-12-26,YO-020,93,0
2024-12-27,YO-020,154,1
2024-12-28,YO-020,155,1
2024-12-29,YO-020,85,0
2024-12-30,YO-020,120,1
2024-12-31,YO-020,168,1
2024-12-18,YO-024,104,0
2024-12-19,YO-024,182,1
2024-12-20,YO-024,171,1
2024-12-21,YO-024,103,1
2024-12-22,YO-024,140,1
2024-12-23,YO-024,85,0
2024-12-24,YO-024,124,1
2024-12-25,YO-024,90,1
2024-12-26,YO-024,138,1
2024-12-27,YO-024,106,0
2024-12-28,YO-024,120,0
2024-12-29,YO-024,137,1
2024-12-30,YO-024,180,1
2024-12-31,YO-024,157,0
2024-12-18,YO-029,107,1
2024-12-19,YO-029,74,1
2024-12-20,YO-029,129,1
2024-12-21,YO-029,129,1
2024-12-22,YO-029,141,1
2024-12-23,YO-029,117,0
2024-12-24,YO-029,83,0
2024-12-25,YO-029,129,1
2024-12-26,YO-029,118,1
2024-12-27,YO-029,157,1
2024-12-28,YO-029,78,0
2024-12-29,YO-029,149,1
2024-12-30,YO-029,117,1
2024-12-31,YO-029,119,1
